current_parent_name,pen_total,num_recs,rank,ownership,curr_ticker,curr_cik,curr_ISIN,hq_country,hq_state,industry,major_industry,viol_parent_url,sub_parent_url
Lee Enterprises,3318698,14,1577,publicly traded,LEE,58361,US5237684064,USA,Iowa,media,media,https://violationtracker.goodjobsfirst.org/parent/lee-enterprises,https://subsidytracker.goodjobsfirst.org/parent/lee-enterprises
Lee Health,232850,2,2571,non-profit,,,,USA,Florida,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/lee-health,
Left Fork Mining,1824712,88,1823,privately held,,,,USA,Kentucky,coal mining,mining and minerals,https://violationtracker.goodjobsfirst.org/parent/left-fork-mining,
Legacy Health,515582,5,2310,non-profit,,,,USA,Oregon,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/legacy-health,
Legal & General Group PLC,9944200,7,1179,publicly traded,LSE: LGEN,,GB0005603997,United Kingdom,,asset management,financial services,https://violationtracker.goodjobsfirst.org/parent/legal-and-general-group-plc,
Legal Sea Foods,128183,6,2745,privately held,,,,USA,Massachusetts,restaurants,restaurants and foodservice,https://violationtracker.goodjobsfirst.org/parent/legal-sea-foods,
Leggett & Platt,771504,57,2148,publicly traded,LEG,58492,US5246601075,USA,Missouri,diversified,diversified,https://violationtracker.goodjobsfirst.org/parent/leggett-and-platt,https://subsidytracker.goodjobsfirst.org/parent/leggett-and-platt
Lehigh Valley Health Network,409979,3,2394,non-profit,,,,USA,Pennsylvania,hospitals,healthcare services,https://violationtracker.goodjobsfirst.org/parent/lehigh-valley-health-network,
Leidos,1928331,9,1796,publicly traded,LDOS,1336920,US5253271028,USA,Virginia,information technology,information technology,https://violationtracker.goodjobsfirst.org/parent/leidos,https://subsidytracker.goodjobsfirst.org/parent/leidos
LendingClub Corp.,29796000,12,772,publicly traded,LC,1409970,US52603A2087,USA,California,financial services,financial services,https://violationtracker.goodjobsfirst.org/parent/lendingclub-corp,https://subsidytracker.goodjobsfirst.org/parent/lendingclub-corp
LendingTree,3784000,8,1533,publicly traded,TREE,1434621,US52603B1070,USA,North Carolina,online loans,financial services,https://violationtracker.goodjobsfirst.org/parent/lendingtree,https://subsidytracker.goodjobsfirst.org/parent/lendingtree
Lendlease Group,64610334,16,569,publicly traded,,,AU000000LLC3,Australia,,construction and engineering,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/lendlease-group,
Lennar,24024453,57,850,publicly traded,LEN,920760,US5260571048,USA,Florida,homebuilding,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/lennar,
Lennox International,677121,7,2203,publicly traded,LII,1069202,US5261071071,USA,Texas,heating & cooling equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/lennox-international,https://subsidytracker.goodjobsfirst.org/parent/lennox-international
Lenovo,11107817,6,1133,publicly traded,,,HK0992009065,China,,computers,electrical and electronic equipment,https://violationtracker.goodjobsfirst.org/parent/lenovo,https://subsidytracker.goodjobsfirst.org/parent/lenovo
Leonard Green & Partners,14705547,46,1031,privately held,,,,USA,California,private equity (including portfolio companies),private equity (including portfolio companies),https://violationtracker.goodjobsfirst.org/parent/leonard-green-and-partners,https://subsidytracker.goodjobsfirst.org/parent/leonard-green-and-partners
